1,Khris Middleton,23,6,6,232,35,92,11,34,14,15,7,15,22,12,14,3,10,14,95,0.38,0.324,0.933,38.7,15.8,3.7,2,2.3,0.5,East 1stRd_15
2,Michael Carter-Williams,23,6,6,191,33,78,0,5,7,12,1,26,27,29,7,6,16,14,73,0.423,0,0.583,31.8,12.2,4.5,4.8,1.2,1,East 1stRd_15
3,Giannis Antetokounmpo,20,6,6,201,26,71,0,1,17,23,12,30,42,16,3,9,11,18,69,0.366,0,0.739,33.5,11.5,7,2.7,0.5,1.5,East 1stRd_15
4,O.J. Mayo,27,6,0,156,18,54,6,19,12,12,1,19,20,18,7,1,9,14,54,0.333,0.316,1,26,9,3.3,3,1.2,0.2,East 1stRd_15
5,John Henson,24,6,0,153,24,41,0,1,5,14,21,27,48,4,5,10,11,14,53,0.585,0,0.357,25.4,8.8,8,0.7,0.8,1.7,East 1stRd_15
6,Ersan Ilyasova,27,6,6,142,20,61,5,23,7,10,6,17,23,3,5,3,5,10,52,0.328,0.217,0.7,23.7,8.7,3.8,0.5,0.8,0.5,East 1stRd_15
7,Jared Dudley,29,6,0,110,14,30,8,14,4,7,3,8,11,8,12,2,5,12,40,0.467,0.571,0.571,18.4,6.7,1.8,1.3,2,0.3,East 1stRd_15
8,Zaza Pachulia,30,6,6,129,16,40,0,0,8,13,11,29,40,9,10,3,5,15,40,0.4,,0.615,21.4,6.7,6.7,1.5,1.7,0.5,East 1stRd_15
9,Jerryd Bayless,26,6,0,120,12,35,2,7,13,17,4,11,15,18,2,2,4,12,39,0.343,0.286,0.765,20,6.5,2.5,3,0.3,0.3,East 1stRd_15
10,Johnny O'Bryant,21,1,0,12,3,8,0,0,0,0,1,2,3,0,0,0,0,1,6,0.375,,,12,6,3,0,0,0,East 1stRd_15
11,Tyler Ennis,20,1,0,16,2,9,1,5,0,0,3,1,4,3,0,0,0,1,5,0.222,0.2,,16.4,5,4,3,0,0,East 1stRd_15
12,Miles Plumlee,26,1,0,16,1,8,0,0,1,2,3,3,6,1,0,1,1,1,3,0.125,,0.5,16.4,3,6,1,0,1,East 1stRd_15
13,Jorge Gutierrez,26,1,0,12,1,2,0,0,0,0,0,1,1,1,0,0,0,1,2,0.5,,,12,2,1,1,0,0,East 1stRd_15
