1,Jimmy Butler,25,6,6,253,50,105,15,37,34,43,8,25,33,23,15,5,14,9,149,0.476,0.405,0.791,42.1,24.8,5.5,3.8,2.5,0.8,East 1stRd_15
2,Derrick Rose,26,6,6,220,41,100,15,40,17,19,5,21,26,39,9,3,26,11,114,0.41,0.375,0.895,36.7,19,4.3,6.5,1.5,0.5,East 1stRd_15
3,Pau Gasol,34,6,6,208,37,76,0,4,24,33,11,60,71,22,3,14,16,13,98,0.487,0,0.727,34.7,16.3,11.8,3.7,0.5,2.3,East 1stRd_15
4,Mike Dunleavy,34,6,6,181,20,40,17,31,6,6,3,21,24,18,4,1,8,17,63,0.5,0.548,1,30.2,10.5,4,3,0.7,0.2,East 1stRd_15
5,Taj Gibson,29,6,0,130,16,36,0,0,11,16,14,21,35,8,3,7,9,10,43,0.444,,0.688,21.7,7.2,5.8,1.3,0.5,1.2,East 1stRd_15
6,Joakim Noah,29,6,6,201,19,40,0,0,1,10,20,50,70,26,7,6,9,19,39,0.475,,0.1,33.6,6.5,11.7,4.3,1.2,1,East 1stRd_15
7,Aaron Brooks,30,6,0,70,12,30,7,14,2,5,2,7,9,6,1,1,6,13,33,0.4,0.5,0.4,11.7,5.5,1.5,1,0.2,0.2,East 1stRd_15
8,Tony Snell,23,6,0,99,10,29,6,20,2,2,1,10,11,4,0,2,5,11,28,0.345,0.3,1,16.4,4.7,1.8,0.7,0,0.3,East 1stRd_15
9,Nikola Mirotic,23,5,0,82,9,30,4,16,1,2,2,13,15,8,3,2,4,7,23,0.3,0.25,0.5,16.4,4.6,3,1.6,0.6,0.4,East 1stRd_15
10,Kirk Hinrich,34,4,0,29,2,7,1,3,0,0,0,1,1,3,1,0,0,2,5,0.286,0.333,,7.2,1.3,0.3,0.8,0.3,0,East 1stRd_15
11,Doug McDermott,23,1,0,6,1,3,1,2,2,2,1,0,1,0,0,0,1,0,5,0.333,0.5,1,6.1,5,1,0,0,0,East 1stRd_15
12,E'Twaun Moore,25,1,0,4,1,2,1,1,0,0,0,3,3,0,0,0,0,1,3,0.5,1,,4.3,3,3,0,0,0,East 1stRd_15
13,Nazr Mohammed,37,1,0,7,1,3,0,0,0,0,1,0,1,0,0,1,0,0,2,0.333,,,6.7,2,1,0,0,1,East 1stRd_15
