1,LeBron James,30,4,4,153,46,105,5,20,24,33,10,34,44,37,6,2,15,10,121,0.438,0.25,0.727,38.2,30.3,11,9.3,1.5,0.5,East Conference_15
2,J.R. Smith,29,4,0,135,26,52,16,34,4,5,2,28,30,8,3,3,5,11,72,0.5,0.471,0.8,33.7,18,7.5,2,0.8,0.8,East Conference_15
3,Tristan Thompson,23,4,4,157,18,28,0,0,11,27,17,27,44,2,0,7,5,11,47,0.643,,0.407,39.2,11.8,11,0.5,0,1.8,East Conference_15
4,Timofey Mozgov,28,4,4,106,17,30,0,0,9,11,13,17,30,1,1,5,6,11,43,0.567,,0.818,26.6,10.8,7.5,0.3,0.3,1.3,East Conference_15
5,Matthew Dellavedova,24,4,2,124,12,40,7,22,7,9,5,8,13,10,2,0,8,10,38,0.3,0.318,0.778,30.9,9.5,3.3,2.5,0.5,0,East Conference_15
6,Iman Shumpert,24,4,4,147,13,37,9,21,3,6,4,22,26,7,2,2,4,11,38,0.351,0.429,0.5,36.8,9.5,6.5,1.8,0.5,0.5,East Conference_15
7,Kyrie Irving,22,2,2,49,10,21,4,6,2,4,2,5,7,11,1,1,3,2,26,0.476,0.667,0.5,24.6,13,3.5,5.5,0.5,0.5,East Conference_15
8,James Jones,34,4,0,80,6,18,6,16,5,6,1,6,7,6,3,1,0,6,23,0.333,0.375,0.833,19.9,5.8,1.8,1.5,0.8,0.3,East Conference_15
9,Joe Harris,23,2,0,8,2,5,1,3,2,2,0,1,1,1,0,0,0,1,7,0.4,0.333,1,4.1,3.5,0.5,0.5,0,0,East Conference_15
10,Mike Miller,34,1,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,,5.4,3,0,0,0,0,East Conference_15
11,Kendrick Perkins,30,1,0,5,1,2,0,0,1,2,0,2,2,0,0,0,1,1,3,0.5,,0.5,5.4,3,2,0,0,0,East Conference_15
12,Shawn Marion,36,3,0,14,1,4,0,0,0,0,1,3,4,1,0,0,0,0,2,0.25,,,4.6,0.7,1.3,0.3,0,0,East Conference_15
13,Brendan Haywood,35,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,East Conference_15
