1,LeBron James,30,6,6,274,78,196,13,42,46,67,11,69,80,53,8,3,21,19,215,0.398,0.31,0.687,45.7,35.8,13.3,8.8,1.3,0.5,Finals_15
2,Timofey Mozgov,28,6,6,170,27,49,0,0,30,40,18,27,45,6,3,9,15,13,84,0.551,,0.75,28.3,14,7.5,1,0.5,1.5,Finals_15
3,J.R. Smith,29,6,0,202,24,77,15,51,6,10,2,24,26,6,3,5,4,19,69,0.312,0.294,0.6,33.6,11.5,4.3,1,0.5,0.8,Finals_15
4,Tristan Thompson,23,6,6,247,24,48,0,0,12,20,32,46,78,2,4,6,5,16,60,0.5,,0.6,41.1,10,13,0.3,0.7,1,Finals_15
5,Matthew Dellavedova,24,6,5,191,15,53,6,26,9,11,4,12,16,16,7,0,15,19,45,0.283,0.231,0.818,31.8,7.5,2.7,2.7,1.2,0,Finals_15
6,Iman Shumpert,24,6,6,215,11,43,8,25,9,14,6,17,23,4,11,4,7,19,39,0.256,0.32,0.643,35.9,6.5,3.8,0.7,1.8,0.7,Finals_15
7,Kyrie Irving,22,1,1,44,10,22,2,8,1,1,2,5,7,6,4,2,1,5,23,0.455,0.25,1,43.6,23,7,6,4,2,Finals_15
8,James Jones,34,6,0,113,6,19,4,13,4,4,0,8,8,2,4,1,4,19,20,0.316,0.308,1,18.8,3.3,1.3,0.3,0.7,0.2,Finals_15
9,Mike Miller,34,5,0,28,1,2,1,2,0,0,0,1,1,0,1,0,1,3,3,0.5,0.5,,5.7,0.6,0.2,0,0.2,0,Finals_15
10,Kendrick Perkins,30,1,0,3,0,2,0,0,2,2,0,1,1,0,0,0,0,1,2,0,,1,3.1,2,1,0,0,0,Finals_15
11,Joe Harris,23,2,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,,,0.5,1.6,0.5,0,0,0,0,Finals_15
