1,Marc Gasol,30,5,5,192,33,79,0,1,36,42,6,40,46,25,2,12,6,12,102,0.418,0,0.857,38.3,20.4,9.2,5,0.4,2.4,West 1stRd_15
2,Courtney Lee,29,5,5,168,31,47,6,11,18,19,1,12,13,7,6,0,4,11,86,0.66,0.545,0.947,33.5,17.2,2.6,1.4,1.2,0,West 1stRd_15
3,Zach Randolph,33,5,5,176,30,86,0,3,10,12,13,29,42,9,2,0,8,18,70,0.349,0,0.833,35.2,14,8.4,1.8,0.4,0,West 1stRd_15
4,Mike Conley,27,3,3,79,18,36,3,8,9,10,0,5,5,11,3,0,4,1,48,0.5,0.375,0.9,26.4,16,1.7,3.7,1,0,West 1stRd_15
5,Beno Udrih,32,4,0,82,19,39,2,7,7,8,4,8,12,12,0,0,1,7,47,0.487,0.286,0.875,20.5,11.8,3,3,0,0,West 1stRd_15
6,Jeff Green,28,5,1,126,14,52,2,7,16,18,3,25,28,8,2,4,5,10,46,0.269,0.286,0.889,25.3,9.2,5.6,1.6,0.4,0.8,West 1stRd_15
7,Nick Calathes,25,5,2,83,12,30,6,11,3,6,1,10,11,10,4,1,6,11,33,0.4,0.545,0.5,16.6,6.6,2.2,2,0.8,0.2,West 1stRd_15
8,Tony Allen,33,5,4,150,11,19,1,3,5,7,7,27,34,8,12,8,4,15,28,0.579,0.333,0.714,29.9,5.6,6.8,1.6,2.4,1.6,West 1stRd_15
9,Vince Carter,38,5,0,76,11,25,3,11,2,2,5,11,16,3,2,2,0,5,27,0.44,0.273,1,15.2,5.4,3.2,0.6,0.4,0.4,West 1stRd_15
10,Kosta Koufos,25,5,0,62,7,12,0,0,2,3,8,7,15,1,2,4,0,9,16,0.583,,0.667,12.5,3.2,3,0.2,0.4,0.8,West 1stRd_15
11,Jordan Adams,20,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,1.4,0,0,0,1,0,West 1stRd_15
12,JaMychal Green,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.4,0,0,0,0,0,West 1stRd_15
13,Jon Leuer,25,2,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,1.8,0,0.5,0,0,0,West 1stRd_15
