1,Al Horford,28,6,6,208,46,92,2,4,7,8,20,39,59,26,6,14,11,12,101,0.5,0.5,0.875,34.6,16.8,9.8,4.3,1,2.3,East Semi_15
2,DeMarre Carroll,28,6,6,212,37,73,11,27,15,19,10,29,39,9,8,2,6,7,100,0.507,0.407,0.789,35.3,16.7,6.5,1.5,1.3,0.3,East Semi_15
3,Jeff Teague,26,6,6,199,35,87,7,19,21,24,8,16,24,42,7,2,17,13,98,0.402,0.368,0.875,33.2,16.3,4,7,1.2,0.3,East Semi_15
4,Paul Millsap,29,6,5,204,34,86,4,19,22,29,15,35,50,25,9,6,20,20,94,0.395,0.211,0.759,34,15.7,8.3,4.2,1.5,1,East Semi_15
5,Dennis Schroder,21,6,0,125,23,60,5,14,14,17,4,15,19,32,5,0,8,14,65,0.383,0.357,0.824,20.8,10.8,3.2,5.3,0.8,0,East Semi_15
6,Kyle Korver,33,6,6,228,15,48,12,42,0,1,1,25,26,11,9,9,13,16,42,0.313,0.286,0,38,7,4.3,1.8,1.5,1.5,East Semi_15
7,Mike Muscala,23,5,0,59,12,20,2,6,0,0,6,7,13,0,0,1,1,10,26,0.6,0.333,,11.8,5.2,2.6,0,0,0.2,East Semi_15
8,Pero Antic,32,6,1,80,6,24,4,15,9,11,4,13,17,1,0,1,1,16,25,0.25,0.267,0.818,13.4,4.2,2.8,0.2,0,0.2,East Semi_15
9,Kent Bazemore,25,6,0,91,8,16,3,6,5,8,0,13,13,4,4,4,4,8,24,0.5,0.5,0.625,15.2,4,2.2,0.7,0.7,0.7,East Semi_15
10,Mike Scott,26,2,0,24,4,10,2,5,0,0,2,6,8,0,1,0,0,2,10,0.4,0.4,,11.9,5,4,0,0.5,0,East Semi_15
11,Shelvin Mack,24,2,0,9,1,2,0,1,0,0,0,0,0,1,1,0,1,1,2,0.5,0,,4.5,1,0,0.5,0.5,0,East Semi_15
12,John Jenkins,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.9,0,0,0,0,0,East Semi_15
