1,Monta Ellis,29,5,5,197,52,111,11,30,15,20,4,12,16,26,10,3,16,18,130,0.468,0.367,0.75,39.4,26,3.2,5.2,2,0.6,West 1stRd_15
2,Dirk Nowitzki,36,5,5,181,38,84,4,17,26,28,4,48,52,12,2,2,10,16,106,0.452,0.235,0.929,36.2,21.2,10.4,2.4,0.4,0.4,West 1stRd_15
3,Jose Barea,30,5,2,154,25,57,4,16,5,6,5,19,24,37,4,0,14,17,59,0.439,0.25,0.833,30.7,11.8,4.8,7.4,0.8,0,West 1stRd_15
4,Al-Farouq Aminu,24,5,2,150,17,31,7,11,15,19,14,22,36,6,10,8,6,15,56,0.548,0.636,0.789,30,11.2,7.2,1.2,2,1.6,West 1stRd_15
5,Tyson Chandler,32,5,5,160,19,29,0,0,13,26,27,27,54,1,3,6,5,16,51,0.655,,0.5,32.1,10.2,10.8,0.2,0.6,1.2,West 1stRd_15
6,Amar'e Stoudemire,32,5,0,75,15,35,0,0,9,13,7,9,16,3,1,3,7,16,39,0.429,,0.692,15,7.8,3.2,0.6,0.2,0.6,West 1stRd_15
7,Charlie Villanueva,30,5,0,43,11,25,8,19,0,0,4,9,13,3,1,1,0,10,30,0.44,0.421,,8.7,6,2.6,0.6,0.2,0.2,West 1stRd_15
8,Devin Harris,31,4,0,74,8,23,0,11,8,9,1,7,8,4,2,0,4,10,24,0.348,0,0.889,18.4,6,2,1,0.5,0,West 1stRd_15
9,Rajon Rondo,28,2,2,37,9,20,1,2,0,0,1,1,2,6,0,0,2,6,19,0.45,0.5,,18.6,9.5,1,3,0,0,West 1stRd_15
10,Richard Jefferson,34,4,2,51,5,14,3,8,2,2,0,2,2,1,2,0,3,9,15,0.357,0.375,1,12.7,3.8,0.5,0.3,0.5,0,West 1stRd_15
11,Raymond Felton,30,3,1,36,4,15,0,4,3,3,1,6,7,4,0,0,0,1,11,0.267,0,1,12,3.7,2.3,1.3,0,0,West 1stRd_15
12,Chandler Parsons,26,1,1,37,5,15,0,4,0,0,0,6,6,2,0,0,1,1,10,0.333,0,,36.8,10,6,2,0,0,West 1stRd_15
13,Bernard James,29,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.9,0,0,0,0,0,West 1stRd_15
14,Dwight Powell,23,2,0,3,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,,1.3,0,0.5,0.5,0,0,West 1stRd_15
15,Greg Smith,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.7,0,0,0,0,0,West 1stRd_15
