1,Anthony Davis,21,4,4,172,47,87,0,2,32,36,9,35,44,8,5,12,13,12,126,0.54,0,0.889,42.9,31.5,11,2,1.3,3,West 1stRd_15
2,Eric Gordon,26,4,4,143,28,63,13,32,5,6,2,7,9,15,2,2,10,11,74,0.444,0.406,0.833,35.8,18.5,2.3,3.8,0.5,0.5,West 1stRd_15
3,Ryan Anderson,26,4,0,95,16,36,5,12,6,6,7,10,17,9,0,2,4,12,43,0.444,0.417,1,23.7,10.8,4.3,2.3,0,0.5,West 1stRd_15
4,Tyreke Evans,25,4,4,125,14,43,2,11,10,17,3,17,20,20,5,1,6,10,40,0.326,0.182,0.588,31.3,10,5,5,1.3,0.3,West 1stRd_15
5,Norris Cole,26,4,0,106,15,36,3,14,2,3,1,6,7,7,0,1,8,15,35,0.417,0.214,0.667,26.4,8.8,1.8,1.8,0,0.3,West 1stRd_15
6,Quincy Pondexter,26,4,4,124,10,28,3,10,6,7,3,17,20,12,7,0,1,13,29,0.357,0.3,0.857,31.1,7.3,5,3,1.8,0,West 1stRd_15
7,Dante Cunningham,27,4,0,75,9,11,0,0,3,3,4,14,18,2,3,4,0,7,21,0.818,,1,18.8,5.3,4.5,0.5,0.8,1,West 1stRd_15
8,Jrue Holiday,24,3,0,55,7,19,1,4,4,4,2,1,3,13,2,1,5,3,19,0.368,0.25,1,18.2,6.3,1,4.3,0.7,0.3,West 1stRd_15
9,Alexis Ajinca,26,3,0,10,4,4,0,0,0,0,0,1,1,1,1,0,0,2,8,1,,,3.5,2.7,0.3,0.3,0.3,0,West 1stRd_15
10,Omer Asik,28,4,4,79,2,10,0,0,4,7,12,17,29,6,5,0,5,10,8,0.2,,0.571,19.8,2,7.3,1.5,1.3,0,West 1stRd_15
