1,DeMar DeRozan,25,4,4,159,32,80,3,8,14,17,5,20,25,23,6,0,10,12,81,0.4,0.375,0.824,39.7,20.3,6.3,5.8,1.5,0,East 1stRd_15
2,Lou Williams,28,4,0,102,16,51,4,21,15,18,2,5,7,5,6,0,3,9,51,0.314,0.19,0.833,25.6,12.8,1.8,1.3,1.5,0,East 1stRd_15
3,Kyle Lowry,28,4,4,131,18,57,5,23,8,11,7,15,22,19,5,0,12,18,49,0.316,0.217,0.727,32.8,12.3,5.5,4.8,1.3,0,East 1stRd_15
4,Amir Johnson,27,4,2,112,20,29,0,1,6,12,7,21,28,4,1,3,7,16,46,0.69,0,0.5,27.9,11.5,7,1,0.3,0.8,East 1stRd_15
5,Jonas Valanciunas,22,4,4,106,19,38,0,0,7,8,9,28,37,2,2,1,4,7,45,0.5,,0.875,26.4,11.3,9.3,0.5,0.5,0.3,East 1stRd_15
6,Patrick Patterson,25,4,0,106,15,27,7,15,4,4,4,10,14,5,3,0,3,5,41,0.556,0.467,1,26.5,10.3,3.5,1.3,0.8,0,East 1stRd_15
7,Greivis Vasquez,28,4,0,101,11,29,5,14,3,3,0,7,7,12,2,0,4,15,30,0.379,0.357,1,25.3,7.5,1.8,3,0.5,0,East 1stRd_15
8,Terrence Ross,23,4,4,107,11,29,6,18,0,0,0,6,6,4,3,4,2,10,28,0.379,0.333,,26.7,7,1.5,1,0.8,1,East 1stRd_15
9,Tyler Hansbrough,29,4,2,48,1,5,0,0,3,4,1,5,6,3,2,1,2,8,5,0.2,,0.75,11.9,1.3,1.5,0.8,0.5,0.3,East 1stRd_15
10,Greg Stiemsma,29,1,0,2,2,2,0,0,1,2,0,0,0,0,0,0,0,0,5,1,,0.5,2,5,0,0,0,0,East 1stRd_15
11,James Johnson,27,2,0,12,2,6,0,0,0,6,0,2,2,1,0,0,0,0,4,0.333,,0,6,2,1,0.5,0,0,East 1stRd_15
