1,Stephen Curry,26,4,4,159,43,95,20,48,29,34,4,17,21,29,5,0,16,12,135,0.453,0.417,0.853,39.8,33.8,5.3,7.3,1.3,0,West 1stRd_15
2,Klay Thompson,24,4,4,151,36,74,16,33,12,16,2,11,13,8,3,5,7,9,100,0.486,0.485,0.75,37.8,25,3.3,2,0.8,1.3,West 1stRd_15
3,Draymond Green,24,4,4,166,23,48,6,17,11,17,12,39,51,25,10,5,10,16,63,0.479,0.353,0.647,41.6,15.8,12.8,6.3,2.5,1.3,West 1stRd_15
4,Harrison Barnes,22,4,4,126,13,30,3,7,5,8,10,15,25,9,4,3,2,5,34,0.433,0.429,0.625,31.4,8.5,6.3,2.3,1,0.8,West 1stRd_15
5,Andrew Bogut,30,4,4,111,12,19,0,0,1,4,10,26,36,9,3,8,6,14,25,0.632,,0.25,27.7,6.3,9,2.3,0.8,2,West 1stRd_15
6,Andre Iguodala,31,4,0,112,9,29,2,16,5,9,3,10,13,11,2,0,0,7,25,0.31,0.125,0.556,28,6.3,3.3,2.8,0.5,0,West 1stRd_15
7,Leandro Barbosa,32,4,0,49,10,22,0,3,4,5,3,2,5,2,0,0,3,3,24,0.455,0,0.8,12.2,6,1.3,0.5,0,0,West 1stRd_15
8,Shaun Livingston,29,4,0,63,7,14,0,0,3,5,3,3,6,7,1,1,1,6,17,0.5,,0.6,15.9,4.3,1.5,1.8,0.3,0.3,West 1stRd_15
9,Marreese Speights,27,4,0,28,3,15,0,0,1,2,5,4,9,3,1,3,1,5,7,0.2,,0.5,7,1.8,2.3,0.8,0.3,0.8,West 1stRd_15
10,Festus Ezeli,25,4,0,19,1,4,0,0,3,6,4,3,7,0,0,0,2,2,5,0.25,,0.5,4.8,1.3,1.8,0,0,0,West 1stRd_15
