1,Stephen Curry,26,5,5,184,52,101,27,55,25,31,5,18,23,28,10,1,14,13,156,0.515,0.491,0.806,36.8,31.2,4.6,5.6,2,0.2,West Conference_15
2,Klay Thompson,24,5,5,159,35,84,14,41,5,6,1,12,13,16,5,4,9,21,89,0.417,0.341,0.833,31.7,17.8,2.6,3.2,1,0.8,West Conference_15
3,Draymond Green,24,5,5,191,29,67,4,20,10,13,15,46,61,28,4,9,15,20,72,0.433,0.2,0.769,38.3,14.4,12.2,5.6,0.8,1.8,West Conference_15
4,Harrison Barnes,22,5,5,155,25,62,7,20,2,2,8,15,23,9,6,0,5,12,59,0.403,0.35,1,31,11.8,4.6,1.8,1.2,0,West Conference_15
5,Shaun Livingston,29,5,0,96,14,26,0,0,8,8,3,10,13,10,3,0,7,9,36,0.538,,1,19.2,7.2,2.6,2,0.6,0,West Conference_15
6,Andre Iguodala,31,5,0,136,14,30,2,8,5,16,4,16,20,21,11,3,5,10,35,0.467,0.25,0.313,27.3,7,4,4.2,2.2,0.6,West Conference_15
7,Festus Ezeli,25,5,0,79,15,25,0,0,4,10,12,18,30,4,1,4,6,13,34,0.6,,0.4,15.9,6.8,6,0.8,0.2,0.8,West Conference_15
8,Leandro Barbosa,32,5,0,69,10,27,3,10,6,8,2,6,8,8,2,0,0,7,29,0.37,0.3,0.75,13.7,5.8,1.6,1.6,0.4,0,West Conference_15
9,Andrew Bogut,30,5,5,107,12,22,0,0,2,5,13,33,46,10,1,9,8,19,26,0.545,,0.4,21.5,5.2,9.2,2,0.2,1.8,West Conference_15
10,David Lee,31,4,0,13,2,5,0,0,0,0,2,5,7,0,1,0,1,1,4,0.4,,,3.2,1,1.8,0,0.3,0,West Conference_15
11,Brandon Rush,29,1,0,4,1,5,1,2,0,0,1,1,2,0,0,0,0,1,3,0.2,0.5,,3.5,3,2,0,0,0,West Conference_15
12,Justin Holiday,25,1,0,4,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,,,,3.5,0,1,1,0,0,West Conference_15
13,James Michael McAdoo,22,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,3.5,0,1,0,0,0,West Conference_15
