1,Stephen Curry,26,6,6,255,54,122,25,65,23,26,5,26,31,38,11,1,28,13,156,0.443,0.385,0.885,42.5,26,5.2,6.3,1.8,0.2,Finals_15
2,Andre Iguodala,31,6,3,222,37,71,14,35,10,28,6,29,35,24,8,2,6,18,98,0.521,0.4,0.357,37.1,16.3,5.8,4,1.3,0.3,Finals_15
3,Klay Thompson,24,6,6,227,36,88,12,40,11,12,2,24,26,10,3,6,5,20,95,0.409,0.3,0.917,37.9,15.8,4.3,1.7,0.5,1,Finals_15
4,Draymond Green,24,6,6,222,24,63,5,19,25,34,8,42,50,30,13,7,13,28,78,0.381,0.263,0.735,37,13,8.3,5,2.2,1.2,Finals_15
5,Harrison Barnes,22,6,6,198,19,51,8,19,7,9,18,17,35,5,5,3,4,17,53,0.373,0.421,0.778,32.9,8.8,5.8,0.8,0.8,0.5,Finals_15
6,Leandro Barbosa,32,6,0,64,12,26,3,7,4,4,2,8,10,3,3,1,4,7,31,0.462,0.429,1,10.7,5.2,1.7,0.5,0.5,0.2,Finals_15
7,Shaun Livingston,29,6,0,120,12,25,0,1,6,8,5,16,21,13,2,2,6,11,30,0.48,0,0.75,20.1,5,3.5,2.2,0.3,0.3,Finals_15
8,Festus Ezeli,25,5,0,50,7,15,0,0,8,11,7,10,17,2,0,3,4,9,22,0.467,,0.727,10,4.4,3.4,0.4,0,0.6,Finals_15
9,David Lee,31,4,0,39,8,15,0,0,6,11,2,8,10,6,1,0,1,8,22,0.533,,0.545,9.7,5.5,2.5,1.5,0.3,0,Finals_15
10,Andrew Bogut,30,4,3,74,4,9,0,0,2,4,5,19,24,6,1,5,4,11,10,0.444,,0.5,18.4,2.5,6,1.5,0.3,1.3,Finals_15
11,Marreese Speights,27,3,0,16,4,13,0,0,1,2,3,2,5,1,1,0,1,3,9,0.308,,0.5,5.3,3,1.7,0.3,0.3,0,Finals_15
12,Justin Holiday,25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.1,0,0,0,0,0,Finals_15
13,James Michael McAdoo,22,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.2,0,1,0,0,0,Finals_15
