1,Stephen Curry,26,6,6,228,51,121,26,64,19,24,6,24,30,39,13,1,24,9,147,0.421,0.406,0.792,37.9,24.5,5,6.5,2.2,0.2,West Semi_15
2,Klay Thompson,24,6,6,224,42,88,15,32,8,11,4,25,29,20,5,4,20,14,107,0.477,0.469,0.727,37.3,17.8,4.8,3.3,0.8,0.7,West Semi_15
3,Harrison Barnes,22,6,6,203,31,57,4,16,11,15,9,18,27,9,2,5,11,11,77,0.544,0.25,0.733,33.8,12.8,4.5,1.5,0.3,0.8,West Semi_15
4,Draymond Green,24,6,6,204,24,62,9,35,18,23,11,39,50,26,11,4,20,25,75,0.387,0.257,0.783,34.1,12.5,8.3,4.3,1.8,0.7,West Semi_15
5,Andre Iguodala,31,6,0,164,21,41,11,23,7,12,3,23,26,19,4,2,3,7,60,0.512,0.478,0.583,27.3,10,4.3,3.2,0.7,0.3,West Semi_15
6,Andrew Bogut,30,6,6,148,14,25,0,1,0,0,13,34,47,11,6,12,8,25,28,0.56,0,,24.6,4.7,7.8,1.8,1,2,West Semi_15
7,Shaun Livingston,29,6,0,95,9,14,0,0,4,4,2,9,11,8,2,2,7,6,22,0.643,,1,15.8,3.7,1.8,1.3,0.3,0.3,West Semi_15
8,Marreese Speights,27,3,0,23,7,14,0,0,7,11,0,7,7,0,2,0,2,6,21,0.5,,0.636,7.6,7,2.3,0,0.7,0,West Semi_15
9,Leandro Barbosa,32,6,0,48,7,13,2,3,4,5,1,3,4,5,1,0,5,7,20,0.538,0.667,0.8,8,3.3,0.7,0.8,0.2,0,West Semi_15
10,David Lee,31,5,0,55,6,20,0,0,2,4,7,10,17,2,1,2,0,8,14,0.3,,0.5,11,2.8,3.4,0.4,0.2,0.4,West Semi_15
11,Festus Ezeli,25,6,0,35,4,6,0,0,1,2,1,7,8,0,0,3,0,1,9,0.667,,0.5,5.9,1.5,1.3,0,0,0.5,West Semi_15
12,James Michael McAdoo,22,3,0,5,2,3,0,0,0,0,0,2,2,0,0,1,1,0,4,0.667,,,1.8,1.3,0.7,0,0,0.3,West Semi_15
13,Justin Holiday,25,3,0,5,1,2,1,1,0,0,0,0,0,0,0,0,0,1,3,0.5,1,,1.8,1,0,0,0,0,West Semi_15
14,Brandon Rush,29,2,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,,2,0,0.5,0,0,0,West Semi_15
