1,Bradley Beal,21,4,4,167,27,71,9,27,20,25,5,16,21,16,6,3,9,8,83,0.38,0.333,0.8,41.8,20.8,5.3,4,1.5,0.8,East 1stRd_15
2,Marcin Gortat,30,4,4,125,29,39,0,0,11,17,12,28,40,12,3,8,9,12,69,0.744,,0.647,31.2,17.3,10,3,0.8,2,East 1stRd_15
3,John Wall,24,4,4,152,21,54,3,11,24,28,0,16,16,50,3,4,13,8,69,0.389,0.273,0.857,38,17.3,4,12.5,0.8,1,East 1stRd_15
4,Paul Pierce,37,4,4,114,19,33,14,24,10,12,0,13,13,4,3,3,6,12,62,0.576,0.583,0.833,28.4,15.5,3.3,1,0.8,0.8,East 1stRd_15
5,Otto Porter,21,4,0,128,15,27,5,10,3,8,8,21,29,4,5,2,2,5,38,0.556,0.5,0.375,31.9,9.5,7.3,1,1.3,0.5,East 1stRd_15
6,Drew Gooden,33,4,0,82,13,33,7,14,3,5,9,18,27,4,0,5,5,7,36,0.394,0.5,0.6,20.6,9,6.8,1,0,1.3,East 1stRd_15
7,Nene Hilario,32,4,4,97,15,32,0,0,4,9,10,18,28,4,4,0,5,14,34,0.469,,0.444,24.3,8.5,7,1,1,0,East 1stRd_15
8,Ramon Sessions,28,4,0,66,8,18,5,9,5,6,0,8,8,6,0,1,3,7,26,0.444,0.556,0.833,16.5,6.5,2,1.5,0,0.3,East 1stRd_15
9,Kevin Seraphin,25,3,0,33,9,16,0,0,2,4,0,7,7,2,1,0,2,6,20,0.563,,0.5,11.1,6.7,2.3,0.7,0.3,0,East 1stRd_15
10,Kris Humphries,29,1,0,5,1,1,0,0,0,0,0,3,3,0,0,0,0,1,2,1,,,5.2,2,3,0,0,0,East 1stRd_15
11,Martell Webster,28,1,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0.5,0,,4.2,2,0,0,0,0,East 1stRd_15
12,Rasual Butler,35,2,0,7,0,1,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,,3.7,0,0.5,0.5,0,0,East 1stRd_15
13,Will Bynum,32,1,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,4.2,0,0,2,1,0,East 1stRd_15
