1,Bradley Beal,21,6,6,251,54,129,14,36,29,34,9,25,34,30,10,4,17,11,151,0.419,0.389,0.853,41.8,25.2,5.7,5,1.7,0.7,East Semi_15
2,Paul Pierce,37,6,6,184,29,66,19,39,7,8,0,29,29,5,3,4,4,21,84,0.439,0.487,0.875,30.7,14,4.8,0.8,0.5,0.7,East Semi_15
3,Otto Porter,21,6,0,203,24,61,7,22,7,13,16,35,51,14,7,0,4,11,62,0.393,0.318,0.538,33.8,10.3,8.5,2.3,1.2,0,East Semi_15
4,Marcin Gortat,30,6,6,182,25,47,0,0,5,7,15,33,48,10,3,3,7,17,55,0.532,,0.714,30.4,9.2,8,1.7,0.5,0.5,East Semi_15
5,John Wall,24,3,3,121,22,56,0,6,9,11,5,12,17,33,7,6,14,5,53,0.393,0,0.818,40.3,17.7,5.7,11,2.3,2,East Semi_15
6,Ramon Sessions,28,6,3,152,18,52,5,16,8,13,2,14,16,17,4,0,7,7,49,0.346,0.313,0.615,25.3,8.2,2.7,2.8,0.7,0,East Semi_15
7,Nene Hilario,32,6,6,160,19,44,0,0,7,14,15,23,38,11,5,3,9,18,45,0.432,,0.5,26.6,7.5,6.3,1.8,0.8,0.5,East Semi_15
8,Drew Gooden,33,6,0,96,10,28,5,12,7,8,4,24,28,4,2,5,9,14,32,0.357,0.417,0.875,15.9,5.3,4.7,0.7,0.3,0.8,East Semi_15
9,Will Bynum,32,2,0,27,7,13,1,2,4,5,2,1,3,1,1,1,5,6,19,0.538,0.5,0.8,13.6,9.5,1.5,0.5,0.5,0.5,East Semi_15
10,Kevin Seraphin,25,3,0,39,6,15,0,0,1,2,3,9,12,0,1,1,2,4,13,0.4,,0.5,12.9,4.3,4,0,0.3,0.3,East Semi_15
11,Garrett Temple,28,4,0,26,1,6,0,3,5,8,1,2,3,1,2,0,3,4,7,0.167,0,0.625,6.5,1.8,0.8,0.3,0.5,0,East Semi_15
